"HyrCV";"HYR";"MPGRP";"TI";"INTRO";"POS"
"0009449";"KAA";false;"Antibiotiques bêta-lactames";"Différentes classes d'antibiotiques appartiennent à ce groupe; elles se caractérisent par la présence d'un cycle β-lactame: les pénicillines (pénicillines à spectre étroit sensibles aux pénicillinases, pénicillines à spectre étroit résistantes aux pénicillinases, aminopénicillines, carboxypénicillines, acyluréidopénicillines, amidinopénicillines), les céphalosporines, les carbapénèmes et les monobactames.
 
Le pivmécillinam est discuté en [11.1.7. Antibactériens urinaires](http://www.cbip.be/fr/contents/10249).
 ";
"0009456";"KAAA";false;"Pénicillines";"**_Positionnement_**

  
  - Les pénicillines sont les antibiotiques dont le profil est le plus adapté à la plupart des infections, aussi bien en pratique ambulatoire qu’en milieu hospitalier. 
  - **Spectre et résistances** 
    - Les pénicillines naturelles (pénicilline G ou benzylpénicilline; pénicilline V ou phénoxyméthylpénicilline) ont un spectre antibactérien étroit; les amino-, carboxy- et acyluréidopénicillines semi-synthétiques ont un spectre plus large, étendu en particulier aux germes Gram négatif. Le pivmécillinam, une amidinopénicilline qui agit uniquement contre les germes Gram négatif, est abordé dans le chapitre des antibactériens urinaires ([voir 11.1.7.4. Pivmécillinam](http://www.cbip.be/fr/contents/8901266)). 
    - Les pénicillines peuvent être inactivées par des enzymes bactériennes qui ouvrent le cycle β-lactame, également appelées les β-lactamases. Il s'agit entre autres des pénicillinases produites par les staphylocoques, et de différentes sortes de β-lactamases produites par des souches Gram négatif (_H. influenzae, M. catarrhalis, E. coli_ et autres entérobactéries, _Pseudomonas_). La flucloxacilline n'est pas sensible aux pénicillinases produites par les staphylocoques. La témocilline est résistante à la plupart des β-lactamases produites par les germes Gram négatif. Pour certaines pénicillines, l'ajout d'un inhibiteur des β-lactamases permet d'éviter l'inactivation par les β-lactamases, p.ex. de l’acide clavulanique avec l’amoxicilline, ou du tazobactam avec la pipéracilline. On constate toutefois une prévalence accrue de nouvelles β-lactamases qui ne peuvent pas toujours être inactivées par les inhibiteurs des β-lactamases disponibles. Cela pose surtout des problèmes vis-à-vis de germes pathogènes hospitaliers; même en dehors de l'hôpital, la diffusion de ces germes est en augmentation constante. 
    - Les souches de Staphylococcus aureus méticillino-résistants (MRSA, syn. staphylocoque doré résistant à la méthicilline ou SARM) sont résistantes à tous les antibiotiques β-lactames, à l'exception de la ceftaroline. Les souches de MRSA se rencontrent principalement en milieu hospitalier, dans les maisons de repos et de soins, et chez les éleveurs de porcs. 
    - La plupart des pneumocoques sont toujours sensibles aux pénicillines, mais vu le pourcentage important de résistance partielle aux pénicillines, il est nécessaire d'utiliser un dosage élevé afin de garantir des concentrations suffisamment élevées. Dans la pratique ambulatoire, il n'y a que l'amoxicilline à dose élevée qui entre en ligne de compte pour le traitement oral des infections à pneumocoques. La résistance du pneumocoque n’étant pas liée à la production de β-lactamases, l'ajout d'un inhibiteur des β-lactamases (p.ex. l’acide clavulanique) à la pénicilline n’a aucune utilité pour éliminer un pneumocoque résistant partiellement à la pénicilline.  
 

**_Contre-indications_**

  
  - Hypersensibilité aux pénicillines IgE-médiée (voir _rubrique “Effets indésirables”_). 
 

**_Effets indésirables_**

  
  - [Voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) 
  - Les pénicillines sont peu toxiques mais peuvent provoquer des manifestations allergiques (y compris un choc anaphylactique), de la diarrhée et des infections à _Clostridioides difficile_ (colite pseudo-membraneuse) et à candida. 
  - **Allergie aux pénicillines** 
    - Seuls les antécédents de symptômes d’anaphylaxie (&lt; 1 h après la prise) ou de symptômes tels que urticaire, hypotension, arythmie cardiaque, œdème angioneurotique, œdème laryngé et/ou un bronchospasme dans les 72 heures suivant la prise, doivent faire renoncer à un traitement par les pénicillines. 
    - L’incidence de l’allergie IgE-médiée à la pénicilline est souvent largement surestimée: un choc anaphylactique ne survient que chez maximum 0,015 % des individus exposés. Seul un petit pourcentage des nombreux patients qui signalent des antécédents d’allergie aux pénicillines présentent en réalité une allergie IgE-médiée. Un test cutané peut être utile en cas de doute sur une allergie à la pénicilline IgE-médiée. Chez les enfants, les réactions anaphylactiques après prise de pénicilline sont encore plus rares. 
    - D’autres réactions, ne mettant pas la vie en danger, sont des réactions d’hypersensibilité de type II (anémie ou thrombopénie) ou de type III (maladie sérique), et d'autres réactions (éruptions cutanées maculo-papuleuses). 
    - Environ 10% des patients présentant une hypersensibilité IgE-médiée aux pénicillines sont aussi allergiques aux céphalosporines de première et cinquième génération. Les patients présentant une hypersensibilité IgE-médiée aux pénicillines peuvent toutefois être traités, sous observation en milieu hospitalier, par une céphalosporine de troisième ou de quatrième génération, le céfuroxime (deuxième génération), un monobactame ou un carbapénème.  
 ";
"0009464";"KAAAA";false;"Pénicillines à spectre étroit sensibles aux pénicillinases";"Ce groupe comprend la pénicilline G (benzylpénicilline), la pénicilline V (phénoxyméthylpénicilline, plus disponible depuis mai 2019) et la phénéticilline.
 

**_Positionnement_**

  
  - [Voir 11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456) 
  - **Spectre et résistances** 
    - Pour les pénicillines en général, [voir 11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456) 
    - Ces pénicillines à spectre étroit sensibles aux pénicillinases sont très actives sur la plupart des streptocoques, les bacilles Gram positif, les spirochètes (syphilis) et certaines neisseria. Elles ne sont que peu actives sur les entérocoques et l'_Haemophilus influenzae_, et ne sont pas actives sur la plupart des bacilles Gram négatif. 
    - La plupart des souches de staphylocoques (&gt; 90%) sont résistantes par production d'une pénicillinase. 
    - La pénicilline V par voie orale (plus disponible) et la phénéticilline ne conviennent pas pour le traitement des infections à pneumocoques en raison d’une trop grande résistance qui empêche d'obtenir les concentrations tissulaires adéquates avec la thérapie orale.  
  - **Indications principales en pratique ambulatoire selon la BAPCOC ([11.5. BAPCOC – Guide belge de traitement anti-infectieux en pratique ambulatoire - 2022](http://www.cbip.be/fr/contents/8000010))** 
    - Mal de gorge aigu lorsqu’un antibiotique est indiqué: la pénicilline V est le premier choix, mais elle n’est pas disponible sur le marché et les modalités pratiques compliquent fortement la préparation magistrale [[voir Folia de juin 2016](http://www.cbip.be/fr/articles/query?number=F43F06D)]. La phénéticilline utilisée à fortes doses peut remplacer la pénicilline V chez les patients gravement malades (le sirop n’est pas remboursé, situation au 01/01/23). Le céfadroxil (chez l’enfant et l’adulte) ou la céfalexine (chez l’adulte) constituent une alternative ([voir 11.1.1.2.1. Première génération](http://www.cbip.be/fr/contents/9605)). 
    - Syphilis primaire, secondaire et latente (infection symptomatique ou détectée à la suite d’un dépistage, ou dans le cadre du traitement d’un partenaire sexuel): la benzathine benzylpénicilline par voie intramusculaire est le premier choix.  
 

**_Contre-indications_**

  
  - Hypersensibilité aux pénicillines IgE-médiée (voir _rubrique ""Effets indésirables""_ au [point 11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456)). 
 

**_Effets indésirables_**

  
  - [Voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) et [11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456) 
 

**_Grossesse et allaitement_**

  
  - Les données d'utilisation de ces préparations pendant la grossesse sont rassurantes (pas de signal de malformations congénitales ou d'autres effets indésirables chez l’enfant selon nos sources). 
 

**_Interactions_**

  
  - [Voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) 
  - Toxicité accrue du méthotrexate en cas d’association à une pénicilline. 
 

**_Administration et posologie_**

  
  - La pénicilline G (benzylpénicilline) est utilisée uniquement par voie parentérale car elle est détruite dans l'estomac. Les injections intramusculaires étant très douloureuses, 2 ml du solvant peuvent être remplacés par 2 ml de lidocaïne 1% ou 2%. 
 ";
"8902454";"KAAAAA";true;"Benzylpénicilline, sodium (pénicilline G, sodium)";;"- adulte: 1.000.000 UI 4 à 6 x p.j., mais dans beaucoup d’indications nettement plus élevé (max. 4.000.000 UI 6 x p.j.)
- enfant (1 mois jusqu’à 18 ans): 100.000 à 400.000 UI/kg/j., fragmenté en 4 à 6 administrations (max. 4.000.000 UI 6 x p.j.) "
"8902462";"KAAAAB";true;"Benzylpénicilline, benzathine (pénicilline G, benzathine)";;"- syphilis primaire, syphilis secondaire ou syphilis latente précoce: 2,4 millions d'UI par voie i.m., à 2 endroits différents, une seule fois
- syphilis latente tardive (infection datant de plus d'un an): 2,4 millions d'UI par voie i.m., à 2 endroits différents aux jours 1, 8 et 15
- syphilis asymptomatique chez une personne dépistée (en cas de suspicion d’infection &lt; 1 an) et ses partenaires: 2,4 millions d’UI par voie i.m., à 2 endroits différents, une seule fois "
"8902470";"KAAAAC";true;"Phénéticilline";;"Mal de gorge aigu:
-	Enfant &gt; 10 ans et adulte: 500 mg 3 x p.j. pendant 7 jours
-	Enfant 2 - 10 ans: 250 mg 3 x p.j. pendant 7 jours
-	Enfant &lt; 2 ans: 125 mg 3 x p.j. pendant 7 jours
à prendre 1 heure avant ou 2 heures après le repas "
"0009480";"KAAAB";false;"Pénicillines à spectre étroit résistantes aux pénicillinases";"Ce chapitre concerne la flucloxacilline. Il n'existe plus de spécialité à base d'oxacilline.
 

**_Positionnement_**

  
  - **Spectre et résistances** 
    - Pour les pénicillines en général, [voir 11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456) 
    - Etant donné la bonne activité de la flucloxacilline vis-à-vis des staphylocoques producteurs de pénicillinases, les infections dues à ces micro-organismes représentent l’indication préférentielle. Les souches de _Staphylococcus aureus_ méticillino-résistants (MRSA) sont toutefois résistantes à la flucloxacilline.  
  - **Indications principales en pratique ambulatoire selon la BAPCOC ([11.5. BAPCOC – Guide belge de traitement anti-infectieux en pratique ambulatoire - 2022](http://www.cbip.be/fr/contents/8000010))** 
    - Infections de la peau et des tissus mous 
      - Impétigo, en cas d’échec du traitement local [[voir aussi Folia de novembre 2018](http://www.cbip.be/fr/articles/query?number=F45F11B)]. La flucloxacilline constitue alors le premier choix. 
      - Cellulite et érysipèle: un traitement antibiotique systémique est toujours recommandé. Ces infections sont surtout dues à des staphylocoques producteurs de pénicillinases, et à des streptocoques sensibles à la pénicilline. La flucloxacilline est le premier choix. Dans d’autres pays, des sources d’EBM recommandent l'amoxicolline-acide clavulanique pour la cellulite faciale.  
    - Mastite du postpartum, lorsqu’un traitement antibiotique est recommandé (c.-à-d. si, en plus de la mastite, une crevasse sur le mamelon est infectée, si les symptômes ne s'améliorent pas après 12 à 24 heures malgré que le lait ait été tiré efficacement ou si la culture du lait est positive): la flucloxacilline est le premier choix.  
 

**_Contre-indications_**

  
  - Hypersensibilité aux pénicillines IgE-médiée (voir _rubrique ""Effets indésirables""_ au [point 11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456)). 
  - Atteinte hépatique (RCP). 
 

**_Effets indésirables_**

  
  - [Voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) _et_ [11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456) 
  - Hépatite cholestatique. 
 

**_Grossesse et allaitement_**

  
  - Flucloxacilline: les données d'utilisation de cette préparation pendant la grossesse sont rassurantes (pas de signal de malformations congénitales ou d'autres effets indésirables chez l’enfant selon nos sources). 
 

**_Interactions_**

  
  - [Voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) 
  - La flucloxacilline mène à des concentrations plasmatiques sous-thérapeutiques de voriconazole chez 50% des patients. 
  - Toxicité accrue du méthotrexate en cas d’association à une pénicilline. 
 ";
"0009498";"KAAABA";true;"Flucloxacilline";;"_per os:_ 
- adulte: 
  - impétigo: 1 à 2 g p.j. en 3 à 4 prises pendant 7 jours 
  - cellulite et érysipèle: 2 g p.j. en 4 prises pendant 10 jours 
  - mastite du postpartum: 2 g p.j. en 4 prises pendant 10 à 14 jours 
 
- enfant: 25 à 50 mg/kg/j. en 3 à 4 prises pendant 7 jours (impétigo) ou 10 jours (cellulite et érysipèle) 
à prendre 1 heure avant ou 2 heures après le repas"
"0009514";"KAAAC";false;"Amoxicilline";"L'amoxicilline est une aminopénicilline. L'association amoxicilline + acide clavulanique (un inhibiteur des β-lactamases) est abordée au point [11.1.1.1.4. Amoxicilline + acide clavulanique](http://www.cbip.be/fr/contents/8901985)
 

**_Positionnement_**

  
  - L'amoxicilline seule (c'est-à-dire non associée à l’acide clavulanique) reste un bon choix dans plusieurs infections. L'association amoxicilline + acide clavulanique ([voir 11.1.1.1.4. Amoxicilline + acide clavulanique](http://www.cbip.be/fr/contents/8901985)) a uniquement une valeur ajoutée en présence d’un risque nettement accru de bactéries productrices de β-lactamases. 
  - **Spectre et résistances** 
    - Pour les pénicillines en général, [voir 11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456) 
    - L’amoxicilline est surtout active sur les souches non productrices de β-lactamases d'_Haemophilus influenzae_, d’_Helicobacter pylori_, d’_Escherichia coli_, de _Proteus mirabilis_, et sur des souches de salmonella, shigella et listeria. 
    - Par rapport à la pénicilline G, l’amoxicilline est plus active sur _Enterococcus faecalis_, mais un peu moins active sur la plupart des micro-organismes Gram positif (p.ex. _Streptococcus pneumoniae_). 
    - L’amoxicilline est sensible aux β-lactamases et n'est donc pas active sur les germes producteurs de β-lactamases. Beaucoup d'entérobactéries (parmi lesquelles des souches d'_E. coli_ et des souches de salmonella et de shigella), mais aussi de nombreuses souches d'_H. influenzae_ et de _M. catarrhalis_ et la plupart des staphylocoques produisent des β-lactamases. 
    - Lorsque l'amoxicilline est utilisée dans une infection aiguë des voies respiratoires (voir « Indications principales en pratique ambulatoire selon la BAPCOC »), la dose doit être suffisamment élevée: en Belgique, environ 16% (chiffres 2020) des pneumocoques sont partiellement résistants ([voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) _rubrique “Résistance”_); environ 2% sont complètement résistants à l'amoxicilline.  
  - Après prise orale, l'amoxicilline est absorbée à environ 80%. 
  - **Indications principales en pratique ambulatoire selon la BAPCOC ([11.5. BAPCOC – Guide belge de traitement anti-infectieux en pratique ambulatoire - 2022](http://www.cbip.be/fr/contents/8000010))** 
    - Infections respiratoires (nécessitant des doses élevées d’amoxicilline) 
      - Infections des voies respiratoires inférieures (suspicion de pneumonie bactérienne communautaire et les rares cas où un antibiotique est indiqué dans la bronchite aiguë): chez les adultes sans comorbidité et chez les enfants, l’amoxicilline est le premier choix comme traitement empirique, vu sa bonne résorption intestinale et son efficacité contre le pneumocoque, le pathogène respiratoire le plus fréquent et le plus dangereux. La dose doit toutefois être suffisamment élevée (voir “Spectre et résistances”). 
      - Otite moyenne aiguë et rhinosinusite aiguë: premier choix lorsqu'un antibiotique est indiqué. 
      - Mal de gorge aigu: deuxième choix, lorsque le céfadroxil ou la céfalexine ne peuvent pas être utilisés.  
    - Érythème migrant dans la maladie de Lyme: chez les enfants de moins de 8 ans et les femmes enceintes ou allaitantes [[voir aussi Folia de mai 2015](http://www.cbip.be/fr/articles/query?number=F42F05B)]. 
    - Eradication d’_Helicobacter pylori_: l’amoxicilline fait partie des schémas thérapeutiques ([voir 3.1. Pathologie gastrique et duodénale](http://www.cbip.be/fr/contents/2493)).  
  - **Indications qui ne figurent pas dans le guide BAPCOC** 
    - Abcès dentaire: la prise en charge consiste d’abord en un traitement dentaire. Pour prévenir une diffusion systémique étendue et non-contrôlée des pathogènes, les antibiotiques peuvent être envisagés chez les patients qui souffrent d’un abcès péri-apical et qui présentent des signes d'expansion locale de l'infection ou signes systémiques d'infection (p.ex. cellulite faciale, lymphadénopathie, fièvre, malaise). 
      - Amoxicilline 500 mg, 3x/jour pendant 3 à 7 jours, ou, 
      - En cas d'allergie à la pénicilline: azithromycine 500 mg, 1x/jour pendant 3 jours, ou clarithromycine 500 mg, 2x/ jour pendant 3 à 7 jours.  
    - Chez les patients à haut risque d'endocardite infectieuse qui doivent subir une intervention dentaire invasive: 
      - Chez l’adulte: 1 dose de 2 g d’amoxicilline ou d’ampicilline 30 à 60 minutes avant le traitement dentaire, ou, 
      - En cas d'allergie à la pénicilline: 600 mg de clindamycine 30 à 60 minutes avant le traitement dentaire. 
      - Chez l’enfant: 1 dose d’amoxicilline ou d’ampicilline de 50 mg/kg de poids corporel 30 à 60 minutes avant le traitement dentaire, ou, 
      - En cas d'allergie à la pénicilline: clindamycine 20 mg/kg de poids corporel 30 à 60 minutes avant le traitement dentaire.   
 

**_Contre-indications_**

  
  - Hypersensibilité aux pénicillines IgE-médiée (voir _rubrique ""Effets indésirables""_ au [point 11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456)). 
 

**_Effets indésirables_**

  
  - [Voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) _et_ [11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456) 
  - Troubles gastriques et diarrhée, surtout à doses élevées par voie orale. 
  - Les patients allergiques aux autres pénicillines le sont aussi à l’amoxicilline, l'inverse n'étant pas nécessairement vrai. 
  - Outre les réactions cutanées liées à une allergie aux pénicillines, l’amoxicilline expose aussi à un risque d’éruptions cutanées maculo-papuleuses. Cette réaction cutanée non allergique, difficile à distinguer d’une réaction allergique de type IV, est beaucoup plus fréquente chez les patients atteints de mononucléose infectieuse ou de leucémie lymphoïde, et en cas de traitement concomitant par l’allopurinol. La survenue d’une telle réaction non allergique n'est pas considérée comme une contre-indication à l’utilisation future d’une pénicilline. 
 

**_Grossesse et allaitement_**

  
  - Amoxicilline: les données d'utilisation de cette préparation pendant la grossesse sont rassurantes (pas de signal de malformations congénitales ou d'autres effets indésirables chez l’enfant selon nos sources). 
 

**_Interactions_**

  
  - [Voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) 
  - Risque accru d’éruptions cutanées maculo-papuleuses en cas d’association à l’allopurinol. 
  - Toxicité accrue du méthotrexate en cas d’association à une pénicilline. 
 

**_Précautions particulières_**

  
  - La teneur en sodium des préparations effervescentes (comprimés, poudres, granulés) peut poser des problèmes chez les patients devant suivre un régime pauvre en sel strict. 
 ";
"0009530";"KAAACA";true;"Amoxicilline";;"(bien répartir les administrations sur la journée) 
  - - pneumonie, bronchite, rhinosinusite aiguë ou otite moyenne aiguë  
    - adulte: 1 g 3 x p.j. pendant 5 à 7 jours 
    - enfant: 75 à 100 mg/kg/j. en 3 prises (max. 1 g/prise) pendant 5 à 7 jours  
  - - abcès dentaire: adulte: 500 mg 3 x p.j. pendant 3 à 7 jours 
  - - érythème migrant dans la maladie de Lyme: 
    - adulte: 500 mg 3 x p.j. pendant 14 jours 
    - enfant: 50 mg/kg/j. en 3 prises (max. 500 mg/prise) pendant 14 jours  
  - - arthrite de Lyme: 
    - adulte: 500 mg 3 x p.j. pendant 28 jours 
    - enfant: 50 mg/kg/j. en 3 prises (max. 500 mg/prise) pendant 28 jours  
  - - éradication d’_H. pylori_ : comme composante du schéma de traitement: [voir 3.1. Pathologie gastrique et duodénale](http://www.cbip.be/fr/contents/2493) "
"8901985";"KAAAD";false;"Amoxicilline + acide clavulanique";"Ce chapitre concerne l’association de l’amoxicilline avec l’acide clavulanique, un inhibiteur des β-lactamases. L’amoxicilline non associée est abordée au point [11.1.1.1.3. Amoxicilline](http://www.cbip.be/fr/contents/9514)
 

**_Positionnement_**

  
  - Un usage restrictif de l’association amoxicilline + acide clavulanique est important: ce n’est qu’en présence d’un risque nettement accru de micro-organismes producteurs de β-lactamases que l’association d’amoxicilline + acide clavulanique a une valeur ajoutée. L’association d’amoxicilline + acide clavulanique est aussi utilisée dans des infections nécessitant une hospitalisation (p.ex. pneumonie sévère, infection intra-abdominale, infection de plaie) et dans les infections nosocomiales. 
  - **Spectre et résistances** 
    - Pour les pénicillines en général, [voir 11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456) 
    - L’association d’acide clavulanique, un inhibiteur des β-lactamases, à l’amoxicilline étend le spectre antibactérien à certains micro-organismes producteurs de β-lactamases tels que _S. aureus méticillino-sensible, Klebsiella spp, Moraxella catarrhalis, Haemophilus influenzae, Escherichia coli_ et _Bacteroides fragilis_. Le _Pseudomonas aeruginosa_ est résistant par nature. 
    - En milieu hospitalier, il existe une résistance acquise croissante vis-à-vis de l’amoxicilline + acide clavulanique.  
  - **Indications principales en pratique ambulatoire selon la BAPCOC ([11.5. BAPCOC – Guide belge de traitement anti-infectieux en pratique ambulatoire - 2022](http://www.cbip.be/fr/contents/8000010))** 
    - Adultes: 
      - Infections respiratoires (nécessitant des doses élevées d’amoxicilline) 
        - infections des voies respiratoires inférieures (suspicion de pneumonie bactérienne communautaire et les rares cas où un antibiotique est indiqué dans la bronchite aiguë): premier choix comme traitement empirique chez les adultes avec comorbidité; 
        - pneumonie d’aspiration; 
        - exacerbation aiguë de BPCO: premier choix lorsque des antibiotiques sont indiqués (p.ex. forte dégradation de l'état général, fonction pulmonaire dégradée, amélioration insuffisante malgré une bronchodilatation maximale et des glucocorticostéroïdes oraux); 
        - otite moyenne aiguë et rhinosinusite aiguë: si aucune amélioration n’est notée après 2 à 3 jours d’amoxicilline, la moitié de la dose d’amoxicilline doit être remplacée par de l’amoxicilline + acide clavulanique;  
      - Diverticulite lorsqu’un traitement antibactérien est jugé nécessaire (patients immunodéprimés, comorbidité significative ou diverticulite compliquée confirmée par un CT-scan de l'abdomen). 
      - Infections urinaires compliquées (pyélonéphrite aiguë, prostatite): à envisager en cas de contre-indication aux quinolones ([voir aussi 11.1.5. Quinolones](http://www.cbip.be/fr/contents/10165)).  
    - Enfants: infections respiratoires: 
      - l’association amoxicilline + acide clavulanique n’est jamais un premier choix; 
      - rhinosinusite aiguë ou otite moyenne aiguë: si aucune amélioration n’est notée après 2 à 3 jours d’amoxicilline, la moitié de la dose d’amoxicilline doit être remplacée par de l’amoxicilline + acide clavulanique.  
    - Morsures de chats, de chiens ou d’humains: 
      - traitement en cas de morsures cliniquement infectées; 
      - prophylaxie: recommandée en cas de morsures au niveau de la main/du poignet, de la jambe/du pied, des organes génitaux ou du visage; morsures profondes et morsures avec contusion; en présence de facteurs de risque (patients immunodéprimés, risque accru d'endocardite ou d'infection liée à une prothèse articulaire); si la plaie est immédiatement suturée.   
 

**_Contre-indications_**

  
  - Hypersensibilité aux pénicillines IgE-médiée (voir _rubrique ""Effets indésirables""_ au [point 11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456)). 
  - Antécédents d’atteinte hépatique lors d’un traitement antérieur par l’amoxicilline + acide clavulanique (RCP). 
 

**_Effets indésirables_**

  
  - [Voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) _et_ [11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456) 
  - Troubles gastriques et diarrhée: plus fréquemment avec l'amoxicilline + acide clavulanique qu'avec l'amoxicilline seule. 
  - Les patients allergiques aux autres pénicillines le sont aussi à l’amoxicilline, l'inverse n'étant pas nécessairement vrai. 
  - Outre cette allergie aux pénicillines, l’amoxicilline expose aussi à un risque d’éruptions cutanées maculo-papuleuses. Cette réaction cutanée non allergique, difficile à distinguer d’une réaction allergique de type IV, est beaucoup plus fréquente chez les patients atteints de mononucléose infectieuse ou de leucémie lymphoïde, et en cas de traitement concomitant par l’allopurinol. La survenue d’une telle réaction non allergique n'est pas considérée comme une contre-indication à l’utilisation future d’une pénicilline. 
  - Hépatite, surtout cholestatique, probablement due à l’acide clavulanique. 
 

**_Grossesse et allaitement_**

  
  - Amoxicilline + acide clavulanique : les données d'utilisation de cette préparation pendant la grossesse sont rassurantes (pas de signal de malformations congénitales ou d'autres effets indésirables chez l’enfant selon nos sources). 
 

**_Interactions_**

  
  - [Voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) 
  - Risque accru d’éruptions cutanées maculo-papuleuses en cas d’association à l’allopurinol. 
  - Toxicité accrue du méthotrexate en cas d’association à une pénicilline. 
 

**_Précautions particulières_**

  
  - La teneur en sodium des préparations effervescentes (comprimés, poudres, granulés) peut poser des problèmes chez les patients devant suivre un régime pauvre en sel strict. 
 ";
"0010496";"KBCD";true;"Miconazole";"Le miconazole n’est plus disponible depuis mars 2024.
 ";"- candidose oropharyngée (garder le gel le plus longtemps possible dans la bouche avant d’avaler):      
  - muguet chez enfants &gt; 6 mois: 4 applications de 1,25 ml p.j. jusqu’à 1 semaine après disparition des lésions (bien répartir le gel du bout du doigt sur les muqueuses, pas jusqu’au voile du palais) 
  - stomatite chez l’adulte: 4 applications de 2,5 ml p.j. jusqu’à 1 semaine après disparition des lésions 
     
- candidose intestinale: 20 mg/kg/j. en 4 prises (max. 1 g = 40 ml de gel p.j.), jusqu’à au moins 1 semaine après disparition des symptômes   "
"0010504";"KBCE";true;"Posaconazole";;
"0010512";"KBCF";true;"Voriconazole";;
"8902033";"MBBJ";false;"Inhibiteurs de PI3K";"**_Contre-indications_**

  
  - [Voir 13.2.2. Inhibiteurs de protéines kinases](http://www.cbip.be/fr/contents/13219) 
 

**_Effets indésirables_**

  
  - [Voir 13.2.2. Inhibiteurs de protéines kinases](http://www.cbip.be/fr/contents/13219) 
 

**_Interactions_**

  
  - [Voir 13.2.2. Inhibiteurs de protéines kinases](http://www.cbip.be/fr/contents/13219) 
 ";
"0009548";"KAAADA";true;"Amoxicilline + acide clavulanique";;"_per os:_ (bien répartir les administrations sur la journée)
- infections des voies respiratoires (doses élevées d’amoxicilline en raison du risque de résistance partielle des pneumocoques) 
  - adulte:  
    - pneumonie/bronchite et exacerbation aiguë de BPCO: association amoxicilline 875 mg/acide clavulanique 125 mg 3 x p.j. pendant 5 jours (BPCO) ou 7 jours (pneumonie/bronchite) 
    - otite moyenne aiguë et rhinosinusite aiguë (en l’absence d’amélioration après 2 à 3 jours d’amoxicilline en monothérapie): amoxicilline 500 mg + association amoxicilline 500 mg/acide clavulanique 125 mg 3 x p.j. Alternative: association amoxicilline 875 mg/acide clavulanique 125 mg 3 x p.j.  
  - enfant: 75 à 100 mg/kg d’amoxicilline p.j. en 3 prises (max. 1 g/prise), dont 37,5 à 50 mg/kg/j. d’amoxicilline sous forme d’une préparation monocomposée et 37,5 à 50 mg/kg/j. d’amoxicilline en association à l’acide clavulanique (9 à 12,5 mg/kg/j.) 
  
- morsures 
  - adulte: association amoxicilline 500 mg/acide clavulanique 125 mg 3 x p.j. pendant 5 jours (prophylaxie) ou 7 jours (infection) 
  - enfant: 30 à 40 mg d’amoxicilline (max. 500 mg/prise) + 7,5 à 10 mg d’acide clavulanique/kg/j. en 3 prises pendant 5 jours (prophylaxie) ou 7 jours (infection) 

- diverticulite: association amoxicilline 500 mg/acide clavulanique 125 mg 3 x p.j. pendant 7 jours
- infections urinaires compliquées (pyélonéphrite aiguë, prostatite): association amoxicilline 500 mg/acide clavulanique 125 mg 3 x p.j. pendant 14 jours (chez les hommes, 28 jours si nécessaire)"
"0009555";"KAAAE";false;"Carboxypénicillines";"Ce chapitre concerne la témocilline.
 

**_Positionnement_**

  
  - La témocilline est réservée aux infections sévères, lorsqu’un germe sensible est confirmé (RCP). 
  - **Spectre et résistances** 
    - La témocilline est active contre la plupart des germes Gram négatif, même en présence de β-lactamases entraînant une résistance aux céphalosporines de deuxième, troisième et quatrième génération. Les entérobactéries productrices de carbapénemase sont souvent résistantes à la témocilline. 
    - Elle n'est pas active sur le _Pseudomonas aeruginosa_ ni sur les micro-organismes Gram positif.  
 

**_Contre-indications_**

  
  - Hypersensibilité aux pénicillines IgE-médiée (voir _rubrique ""Effets indésirables""_ au [point 11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456)). 
 

**_Effets indésirables_**

  
  - [Voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) et [11.1.1.1. Pénicillines](http://www.cbip.be/fr/contents/9456) 
 

**_Interactions_**

  
  - [Voir 11.1. Antibactériens](http://www.cbip.be/fr/contents/9431) 
  - Toxicité accrue du méthotrexate en cas d’association à une pénicilline. 
 ";
"0009563";"KAAAEA";true;"Témocilline";;
